"","SYMBOL"
"1","-"
"2","LOC284600"
"3","AGRN"
"4","LINC01342"
"5","MIR429"
"6","TTLL10"
"7","TTLL10-AS1"
"8","SDF4"
"9","TNFRSF4"
"10","MXRA8"
"11","DVL1"
"12","MRPL20"
"13","RN7SL657P"
"14","MRPL20-DT"
"15","LOC107984868"
"16","ATAD3B"
"17","ATAD3A"
"18","SSU72"
"19","TMEM240"
"20","ARHGEF16"
"21","MEGF6"
"22","CAMTA1"
"23","RERE"
"24","VPS13D"
"25","DHRS3"
"26","LRRC38"
"27","LOC107984918"
"28","PDPN"
"29","PDE4DIPP9"
"30","CROCC"
"31","PADI4"
"32","ARHGEF10L"
"33","LOC105376809"
"34","PAX7"
"35","LOC105376815"
"36","CAPZB"
"37","MICOS10"
"38","LOC105376819"
"39","LOC105376817"
"40","LOC105376818"
"41","TMCO4"
"42","RN7SL304P"
"43","PLA2G2F"
"44","UBXN10"
"45","PLA2G2C"
"46","LINC01141"
"47","HP1BP3"
"48","EIF4G3"
"49","LOC105376830"
"50","LOC105376829"
"51","ECE1"
"52","HSPG2"
"53","C1QB"
"54","EPHB2"
"55","LUZP1"
"56","RNU6-514P"
"57","RNU6-135P"
"58","HNRNPR"
"59","ELOA"
"60","ELOA-AS1"
"61","SRSF10"
"62","IL22RA1"
"63","IFNLR1"
"64","GRHL3"
"65","STPG1"
"66","LIN28A"
"67","RN7SL679P"
"68","LINC01778"
"69","RN7SL371P"
"70","PUM1"
"71","SNORD103A"
"72","LOC107985470"
"73","LOC105378623"
"74","KHDRBS1"
"75","AZIN2"
"76","ZSCAN20"
"77","TLR12P"
"78","AGO4"
"79","EVA1B"
"80","SH3D21"
"81","GRIK3"
"82","SNIP1"
"83","DNALI1"
"84","MANEAL"
"85","UTP11"
"86","MIR3659HG"
"87","LINC02786"
"88","LOC105378657"
"89","LINC01685"
"90","RRAGC"
"91","Y_RNA"
"92","EIF1P2"
"93","RRAGC-DT"
"94","MACF1"
"95","HSPE1P8"
"96","HEYL"
"97","PPIE"
"98","RNU7-121P"
"99","MFSD2A"
"100","TMCO2"
"101","RLF"
"102","NFYC"
"103","NFYC-AS1"
"104","RIMS3"
"105","P3H1"
"106","LOC339539"
"107","RNF220"
"108","ZSWIM5"
"109","SKINT1L"
"110","LINC02794"
"111","LINC02808"
"112","FAF1"
"113","CFL1P2"
"114","C1orf185"
"115","TTC39A"
"116","LOC105378717"
"117","USP24"
"118","MIR4422HG"
"119","LOC105378740"
"120","LINC01755"
"121","LOC105378737"
"122","DAB1"
"123","LINC02778"
"124","LOC105378761"
"125","LINC01748"
"126","LOC101926964"
"127","LRRIQ3"
"128","FPGT"
"129","FPGT-TNNI3K"
"130","MSH4"
"131","LOC107985037"
"132","PRKACB"
"133","LOC107985046"
"134","SSX2IP"
"135","LPAR3"
"136","MCOLN3"
"137","DNAI3"
"138","DDAH1"
"139","LOC107985057"
"140","LOC112268231"
"141","PKN2-AS1"
"142","PKN2"
"143","ARHGAP29-AS1"
"144","GAPDHP29"
"145","LOC105378859"
"146","ABCD3"
"147","LINC02607"
"148","LOC101928219"
"149","DPYD"
"150","LINC01776"
"151","SNX7"
"152","PLPPR5-AS1"
"153","PLPPR5"
"154","LINC01708"
"155","RNU6-1318P"
"156","SLC35A3"
"157","DBT"
"158","LOC112268286"
"159","LOC107985096"
"160","COL11A1"
"161","AMY2A"
"162","PROK1"
"163","KCNA2"
"164","LOC105378901"
"165","CCNT2P1"
"166","CHI3L2"
"167","CHIA"
"168","CHIAP2"
"169","UBE2FP3"
"170","KCND3"
"171","LINC02884"
"172","WNT2B"
"173","MOV10"
"174","LRIG2-DT"
"175","HIPK1-AS1"
"176","LOC105378920"
"177","LINC01762"
"178","TENT5C"
"179","TENT5C-DT"
"180","PNRC2P1"
"181","WDR3"
"182","DRD5P2"
"183","LOC101927429"
"184","SRGAP2B"
"185","HYDIN2"
"186","PFN1P4"
"187","NBPF11"
"188","FLG-AS1"
"189","SPRR2C"
"190","LOC101928009"
"191","SPRR2G"
"192","RN7SL372P"
"193","IL6R"
"194","ZBTB7B"
"195","LMNA"
"196","IQGAP3"
"197","TAGLN2"
"198","KCNJ10"
"199","ATP1A4"
"200","DCAF8"
"201","DCAF8-DT"
"202","F11R"
"203","NR1I3"
"204","ATF6"
"205","DDR2"
"206","PBX1"
"207","LOC112268276"
"208","LINC01675"
"209","FMO7P"
"210","POU2F1"
"211","NME7"
"212","ATP1B1"
"213","FMO6P"
"214","LOC105371611"
